Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,adult_child,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Adults,16029.351951064,908.926058544283,16029,909,,FALSE,4753,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Adults,394.96184147500003,78.4893321256519,395,78,,FALSE,4753,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Children,6945.946459119999,535.791683977679,6946,536,,FALSE,556,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Children,501.574246537,112.780901771355,502,113,,FALSE,556,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Children,295.807576597,68.1134473391477,296,68,,FALSE,556,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Children,,,,,,FALSE,556,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Always,Adults,94853.409694127,3974.38910720318,94853,3974,,FALSE,10566,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Usually,Adults,58130.956889041,2629.28119400637,58131,2629,,FALSE,10566,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Sometimes/Never,Adults,13927.748700957,776.917622122298,13928,777,,FALSE,10566,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Don't know/Non-response,Adults,1718.882131434,214.36052772903,1719,214,,FALSE,10566,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Always,Children,40263.404682538,2142.07348778499,40263,2142,,FALSE,3225,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Usually,Children,5023.518815632,430.09035078077295,5024,430,,FALSE,3225,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Sometimes/Never,Children,1402.1353138870002,195.752398420306,1402,196,,FALSE,3225,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,listen,How often doctor listened carefully,Don't know/Non-response,Children,195.03046064,59.228559725553,195,59,*,FALSE,3225,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Always,Adults,100050.047646556,4197.12699571344,100050,4197,,FALSE,10566,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Usually,Adults,55898.184812362,2647.3245152405,55898,2647,,FALSE,10566,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Sometimes/Never,Adults,10856.6148033,600.791095662283,10857,601,,FALSE,10566,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Don't know/Non-response,Adults,1826.150153341,210.029187429968,1826,210,,FALSE,10566,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Always,Children,40422.361660579,2143.6940049650198,40422,2144,,FALSE,3225,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Usually,Children,4578.41626046,438.280386681169,4578,438,,FALSE,3225,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Sometimes/Never,Children,1666.947830652,214.502204183975,1667,215,,FALSE,3225,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,explain,How often doctor explained things,Don't know/Non-response,Children,216.36352100599998,64.0058471950158,216,64,,FALSE,3225,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Always,Adults,106435.194701289,4455.657822639349,106435,4456,,FALSE,10566,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Usually,Adults,48658.720728958004,2260.26113507846,48659,2260,,FALSE,10566,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Sometimes/Never,Adults,11859.781238223999,689.363361518124,11860,689,,FALSE,10566,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Don't know/Non-response,Adults,1677.300747088,201.595800222689,1677,202,,FALSE,10566,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Always,Children,41219.278863385,2150.52854835709,41219,2151,,FALSE,3225,"How often doctor showed respect, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Usually,Children,4369.498271415,431.00562025624197,4369,431,,FALSE,3225,"How often doctor showed respect, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Sometimes/Never,Children,1122.302913023,183.07249475083702,1122,183,,FALSE,3225,"How often doctor showed respect, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,respect,How often doctor showed respect,Don't know/Non-response,Children,173.009224874,58.4295707698509,173,58,*,FALSE,3225,"How often doctor showed respect, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Always,Adults,85750.453034649,3626.53969171942,85750,3627,,FALSE,10566,"How often doctor spent enough time, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Usually,Adults,61024.333813924,2732.83561632253,61024,2733,,FALSE,10566,"How often doctor spent enough time, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Sometimes/Never,Adults,19913.482848916003,1075.8198821183598,19913,1076,,FALSE,10566,"How often doctor spent enough time, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Don't know/Non-response,Adults,1942.72771807,238.452568617847,1943,238,,FALSE,10566,"How often doctor spent enough time, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Always,Children,39132.39356084399,2124.65844833887,39132,2125,,FALSE,3225,"How often doctor spent enough time, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Usually,Children,5803.661825902,448.942948877823,5804,449,,FALSE,3225,"How often doctor spent enough time, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Sometimes/Never,Children,1659.421965172,228.591220821191,1659,229,,FALSE,3225,"How often doctor spent enough time, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,time,How often doctor spent enough time,Don't know/Non-response,Children,288.611920779,83.21768001817959,289,83,,FALSE,3225,"How often doctor spent enough time, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,0-6 rating,Adults,21090.444428373,1069.44298240526,21090,1069,,FALSE,10566,"Rating for care, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,7-8 rating,Adults,62209.672302889,2699.82532461276,62210,2700,,FALSE,10566,"Rating for care, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,9-10 rating,Adults,84997.897395191,3785.36959033401,84998,3785,,FALSE,10566,"Rating for care, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,Don't know/Non-response,Adults,332.983289106,80.0894066772679,333,80,,FALSE,10566,"Rating for care, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,0-6 rating,Children,2172.682038466,331.76882078814305,2173,332,,FALSE,3225,"Rating for care, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,7-8 rating,Children,9392.978676934,713.54396978462,9393,714,,FALSE,3225,"Rating for care, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,9-10 rating,Children,35241.764835019,1908.15415290299,35242,1908,,FALSE,3225,"Rating for care, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,rating,Rating for care,Don't know/Non-response,Children,76.663722278,35.6551126413632,77,36,*,FALSE,3225,"Rating for care, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,28136.012767882,1585.91820879323,28136,1586,,FALSE,3361,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,29086.437268083,1481.96745174969,29086,1482,,FALSE,4077,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,28049.581136822,1306.95786277502,28050,1307,,FALSE,4843,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,16919.65168654,1050.07441758946,16920,1050,,FALSE,3361,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,19225.292128445,1038.38058077538,19225,1038,,FALSE,4077,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,15671.156691844999,811.280388571229,15671,811,,FALSE,4843,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,29301.277095121997,1520.46721110423,29301,1520,,FALSE,3361,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,17383.721131237002,920.814043721518,17384,921,,FALSE,4077,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,8366.306637317,565.6448716097731,8366,566,,FALSE,4843,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,622.238966449,150.18949230069202,622,150,,FALSE,3361,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,894.316028654,139.57299111457502,894,140,,FALSE,4077,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,1440.9319198360001,160.82672746734002,1441,161,,FALSE,4843,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,9521.074989781,679.3692349082089,9521,679,,FALSE,659,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,21660.680286158,1403.12047555988,21661,1403,,FALSE,1933,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,925.8245563769999,166.49877131147198,926,166,,FALSE,659,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,3917.194183261,393.97925033454703,3917,394,,FALSE,1933,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,620.380448692,134.381409680694,620,134,,FALSE,659,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,2333.759033315,279.275363100351,2334,279,,FALSE,1933,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,,,,,,FALSE,659,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,,,,,,FALSE,1933,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,57222.450035965005,2714.30055268243,57222,2714,,FALSE,7438,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,36144.943814985,1810.72592298963,36145,1811,,FALSE,7438,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,46684.998226359,2103.64406180075,46685,2104,,FALSE,7438,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,1516.554995103,212.230175846312,1517,212,,FALSE,7438,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,31181.755275939,1807.22958962804,31182,1807,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,4843.018739638,450.405207199384,4843,450,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,2954.139482007,341.804832253896,2954,342,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,79.332032299,35.3371376792469,79,35,*,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,85272.031172787,3719.0990501608203,85272,3719,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,51816.10050683,2316.74692642953,51816,2317,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,55051.304863676,2384.10063766611,55051,2384,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,2957.4869149389997,264.40642654847204,2957,264,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,31181.755275939,1807.22958962804,31182,1807,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,4843.018739638,450.405207199384,4843,450,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,2954.139482007,341.804832253896,2954,342,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,All persons,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,79.332032299,35.3371376792469,79,35,*,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Adults,13318.828347867,911.041670447502,13319,911,,FALSE,1221,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Adults,12284.989653294999,759.255598436421,12285,759,,FALSE,1628,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Adults,12610.981487428,702.422410520814,12611,702,,FALSE,1904,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Adults,5209.485654598,469.570287656345,5209,470,,FALSE,1221,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Adults,6523.288866823,490.94327463636796,6523,491,,FALSE,1628,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Adults,4693.450063987,360.927566635159,4693,361,,FALSE,1904,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Adults,7387.71640871,579.21451387518,7388,579,,FALSE,1221,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Adults,5540.086810168,378.764073105189,5540,379,,FALSE,1628,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Adults,3101.548732186,351.061181283745,3102,351,,FALSE,1904,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Adults,,,,,,FALSE,1221,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Adults,172.38428105,50.7741782092144,172,51,,FALSE,1628,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Adults,141.337905881,42.8011650556314,141,43,*,FALSE,1904,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), by age groups, United States"
2021,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Children,2122.2077796840003,265.955515967316,2122,266,,FALSE,149,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), by age groups, United States"
